날짜,제목,글쓴이,조회,공감,비공감
2022.05.27 10:12,"대장은 시장이 정한다..
				[2]",dolc****,326,4,5
2022.05.27 10:02,샤페론 국전상가넴,whdd****,187,0,0
2022.05.27 10:01,"아니 뭐가 부족해서....
				[1]",rkat****,236,3,1
2022.05.27 09:49,이렇게 슈팅없이,dusk****,168,3,1
2022.05.27 09:48,이렇게만가 급등하지말고 ㅜ,ll93****,153,1,0
2022.05.27 09:46,웬일이냐?,qkag****,139,2,0
2022.05.27 09:40,역시 대장 맞네 ㅋ,dusk****,156,2,1
2022.05.27 09:31,애는,boss****,154,1,0
2022.05.27 09:22,잊지마,ll93****,128,0,0
2022.05.27 09:19,간다 간다,hana****,130,1,0
2022.05.27 09:11,언제까지 따라다니는 인생이냐..,unlo****,171,3,0
2022.05.27 08:38,"부채비율이 왜이렇게 높지
				[1]",dddw****,187,0,2
2022.05.27 08:51,부채비율이 왜이렇게 높지,psk8****,165,5,0
2022.05.27 06:55,"어제2만주매수
				[1]",k112****,283,6,3
2022.05.26 23:08,"종이값 23% 올린다네요. ㅜㅜ
				[1]",posi****,503,7,4
2022.05.26 18:28,"부수적인 비용 증가가..
				[2]",dddw****,290,2,1
2022.05.26 18:11,"시간외
				[3]",unlo****,480,2,0
2022.05.26 16:24,"펄프가 오르면 뭐합니까?
				[2]",star****,416,2,2
2022.05.26 11:38,김승연 언제 골로감?,0605****,313,1,1
2022.05.26 10:04,띄기 띄기,hana****,169,0,0
2022.05.26 09:07,"잊지마
				[3]",ll93****,320,1,4
2022.05.25 19:42,"원희룡
				[1]",rlad****,402,2,2
2022.05.25 19:07,"형님들 그냥 지금 사세요
				[2]",ww89****,453,2,3
2022.05.25 18:48,제길 회사가,tcpz****,180,1,1
2022.05.25 16:02,존버,kutk****,309,4,3
2022.05.25 15:06,"설겆이
				[2]",lawj****,369,2,0
2022.05.25 14:56,"하루도 못가는건가
				[1]",whdd****,233,1,0
2022.05.25 14:23,"주포 대단해
				[3]",noin****,408,2,0
2022.05.25 14:06,4500,ohho****,189,0,0
2022.05.25 13:59,다팔고..,unlo****,176,0,0
2022.05.25 13:21,"무림투자자는 잊지말자 어종보
				[1]",wnsd****,348,2,0
2022.05.25 13:11,개같은 주 ㅍ 노ㅁ,ka34****,186,2,0
2022.05.25 12:52,"솔직히
				[1]",unlo****,307,4,1
2022.05.25 12:05,윤석열이땜시 출근지각따고  항의했다하니 ...,zuak****,195,0,1
2022.05.25 11:29,이놈 참~,mine****,169,0,2
2022.05.25 10:58,"청와대문씨가 사는 침실부터  개방한다는데...
				[7]",zuak****,308,2,8
2022.05.25 10:03,무림페이퍼가상쳐야,shgu****,287,0,3
2022.05.25 10:02,양봉사 주지스님 이다...........,sell****,198,0,1
2022.05.25 09:44,"아 씨발 무림페이퍼 살껄
				[1]",0605****,329,2,3
2022.05.25 09:41,"2000원할땐 최강욱이좋아하는짤*이하셨나...
				[2]",zuak****,233,1,3
2022.05.25 09:33,참 꾸준해,lhwn****,155,0,0
2022.05.25 09:31,"무림피앤피가 갑자기 갭상승 = 매도
				[2]",land****,397,2,0
2022.05.25 09:30,욤?하네..,siwo****,120,0,0
2022.05.25 09:24,에휴...,mntp****,129,0,0
2022.05.25 09:24,깔깔 주포놈 또,hana****,128,0,0
2022.05.25 09:17,꼴찌네..,unlo****,180,1,0
2022.05.25 09:10,이녀석은 무림 3형제중 최약체!,idra****,216,1,0
2022.05.25 08:45,팔거였음,ll93****,200,0,0
2022.05.25 08:41,"ㅋㅋㅋ 아
				[1]",3moo****,311,2,1
2022.05.25 08:39,신용물량,whit****,183,1,0
2022.05.25 08:24,오늘?달라붙는얘들은?손절해야한다,jss2****,209,1,0
2022.05.25 08:16,"오늘 날라가나요?
				[1]",zetm****,271,0,2
2022.05.25 08:13,시외에 다팔았는데,rhgh****,220,3,0
2022.05.25 08:10,기대들 하지마세요,zkfh****,213,2,1
2022.05.25 08:09,"■ 공지사항(신용물량 , 30프로)",sang****,195,2,1
2022.05.25 08:08,오늘은 기대좀 해볼란다.,rock****,142,0,1
2022.05.25 01:43,"던지고 나와
				[2]",1818****,344,4,0
2022.05.24 23:49,헉 시외 상이네,land****,285,2,5
2022.05.24 21:14,"각자 알아서 판단하자
				[1]",sunh****,473,5,7
2022.05.24 21:09,"무림그룹은 피앤피가 대장임
				[5]",bjcr****,607,8,4
2022.05.24 21:08,"상가면 무림방향으로 절한다
				[4]",sunh****,478,2,3
2022.05.24 18:58,어디 마땅히 투자할 곳이읍네,ll93****,198,0,1
2022.05.24 18:28,"내일 탈출잘~~합시다
				[3]",star****,599,6,0
2022.05.24 17:52,"멍충이들아 지금 국제 펄프값이 중요하냐?
				[4]",bjcr****,672,1,2
2022.05.24 17:50,한솔제지 품절주,kim1****,191,0,0
2022.05.24 17:43,아ㅡㅡ 시간외 뻥카인줄알고 장난질하다,rhgh****,276,1,1
2022.05.24 17:37,"드디어 시작입니까?
				[1]",unlo****,272,3,0
2022.05.24 17:33,시외상인디?,jans****,192,1,0
2022.05.24 16:50,늑음마 씨발,0605****,212,1,1
2022.05.24 14:34,"이거 바닥이 어딘가요
				[1]",brav****,312,4,0
2022.05.24 13:16,4400,unlo****,154,0,1
2022.05.24 12:46,개미만사는중,deuk****,180,3,0
2022.05.24 12:37,모멘텀이,unlo****,191,1,1
2022.05.24 12:20,잣?네,boja****,160,1,0
2022.05.24 11:57,끝난종목?,didr****,194,4,1
2022.05.24 09:54,"펄프값 사상 최고치 경신인데 왜이리 조용...
				[5]",kutk****,689,7,5
2022.05.24 09:01,"가나?
				[1]",hana****,230,0,3
2022.05.23 15:41,"제지주 잘 못 손댓다가 큰 손절 했네요
				[2]",tae2****,702,6,0
2022.05.23 10:20,"ㅋㅋㅋ 에이 역시 주포 OOO
				[1]",hana****,308,2,1
2022.05.22 03:21,펄프의 처음과 끝을 다 하는 기업은 무림...,sunh****,457,1,4
2022.05.21 21:31,"얘들아, 노르웨이 왔다
				[1]",mist****,442,2,6
2022.05.20 18:18,"산업통산자원부 펄프가격 업데이트
				[6]",unlo****,974,20,5
2022.05.20 15:47,"지수가 폭등해도
				[2]",unlo****,413,6,3
2022.05.20 15:12,주가부양,krs5****,197,2,0
2022.05.20 14:46,아니 어디까지 가는거야?,brav****,223,3,0
2022.05.20 14:24,손절들하고,unlo****,236,3,0
2022.05.20 12:30,꾹꾹 눌러담는구나,wnsd****,229,1,2
2022.05.20 11:26,"여기 주포타입이 딱 옛날에 인선이엔티 떠...
				[2]",hana****,402,4,1
2022.05.20 11:00,기관들 왜이렇게 파는건가요,tmka****,196,0,0
2022.05.20 10:56,"드러버서 팔고간다
				[1]",deuk****,256,3,0
2022.05.20 10:55,아직 때가아니라면,unlo****,154,0,2
