날짜,제목,글쓴이,조회,공감,비공감
2022.06.22 15:29,"국일제지 신용매수 됩니까?
				[2]",jinh****,338,2,2
2022.06.22 15:25,"국일이 어쩌고 저쩌고 희망회로 주는 늠들...
				[2]",mmkk****,239,5,1
2022.06.22 15:22,고등어였는데,yoon****,141,2,0
2022.06.22 15:16,경영진은 진짜 뭐하고 자빠졌노,leed****,136,6,0
2022.06.22 15:15,금요일에 천원 보는거야?ㅋㅋㅋㅋ,dbdl****,125,4,1
2022.06.22 15:10,공장부지에 고구마나 심자,scie****,132,4,0
2022.06.22 15:08,금요일날 사라,aiii****,140,2,3
2022.06.22 14:53,"개미들 공포
				[1]",csnl****,204,2,2
2022.06.22 14:41,천원으로 갑시다 ㅋㅋㅋ,dbdl****,132,5,2
2022.06.22 14:31,"2천도 깰 기세네~ 니미럴 바닥이 어디여
				[1]",mmkk****,193,6,0
2022.06.22 14:30,"여기,",dlqu****,124,6,0
2022.06.22 14:05,아. 닝기미..,drun****,130,3,2
2022.06.22 14:03,"국일 제지 메인 아이템은 제지인가요? 그...
				[1]",hear****,156,2,1
2022.06.22 14:13,국일 제지 메인 아이템은 제지인가요? 그...,john****,119,3,0
2022.06.22 14:01,미?네미?어!!,john****,124,2,1
2022.06.22 13:22,브라보 부라보,dbdl****,123,3,2
2022.06.22 13:18,"그래핀은 무슨.. 윤순길 교수나 바라보는...
				[1]",scie****,235,5,0
2022.06.22 12:29,"우시기 나쁜 노무
				[2]",gabs****,307,15,0
2022.06.22 12:13,"환율봐라~ 지금 있는 주식이나 잘 지켜야...
				[3]",mmkk****,350,10,0
2022.06.22 12:11,"담배값 오르길
				[1]",yuly****,184,4,2
2022.06.22 12:04,"모두 안티네
				[1]",scie****,159,6,0
2022.06.22 12:02,이  븅   딱,aa97****,134,3,0
2022.06.22 11:58,"상식적으로
				[1]",hara****,209,7,0
2022.06.22 11:40,어제 속았어 매수한 새끼 ㅈ때바라,jcu0****,142,3,0
2022.06.22 11:20,화한  배달이요,them****,157,4,3
2022.06.22 10:54,요즘 장이 안좋아서,aiii****,199,1,6
2022.06.22 10:44,40조원 이거 구라야,dbdl****,162,3,4
2022.06.22 10:37,세력형들이 올릴 것..,dreg****,134,2,3
2022.06.22 10:05,어리둥절?ㅋㅋㅋㅋ,dbdl****,169,3,4
2022.06.22 10:01,경축,them****,165,3,3
2022.06.22 09:48,주식은,them****,127,3,2
