날짜,제목,글쓴이,조회,공감,비공감
2022.03.04 14:49,"※※단재완회장님~!!!!!+++++
				[1]",ehdu****,368,1,0
2022.03.04 14:20,2~3명이 가지고 노네,jaco****,263,2,0
2022.03.04 07:32,"배당은?
				[9]",saen****,816,1,0
2022.03.03 11:44,어이구,abc1****,381,2,0
2022.03.02 20:05,"배당도없네
				[2]",ycha****,780,4,1
2022.03.02 14:13,"주총하려면
				[1]",ever****,578,5,1
2022.03.02 10:52,주주총회일 발표됐나요 ?,8912****,386,8,0
2022.02.27 01:09,"한국은 수탈이 법으로 보장된 나라다
				[1]",blac****,423,3,1
2022.02.26 07:40,"엄청난 실적
				[2]",ssph****,645,2,1
2022.02.25 11:01,■■개망챠트~!!!!!!+++++,ehdu****,258,1,0
2022.02.24 19:21,엊그제신용,jki4****,238,1,2
2022.02.23 17:40,"11자 찍어주면 갭차트 완성
				[2]",rcu3****,592,1,3
2022.02.23 15:09,"배당
				[3]",kykk****,703,10,0
2022.02.23 09:37,이런거 사라고 추천하는 자는,jaco****,424,11,2
2022.02.22 19:22,"개도안물어갈때 조용할때사서~
				[2]",gksd****,603,5,1
2022.02.22 15:56,어리버리,colo****,319,8,1
2022.02.22 10:48,■■개망챠트~!!!!!++++++,ehdu****,349,9,0
2022.02.21 22:30,내일 찐바닥 한번 보러 갈듯,jaco****,308,1,3
2022.02.21 15:27,"대충 지주사 전환 후 지배구조
				[2]",8437****,866,6,4
2022.02.21 15:15,"계양전기 합병지주사로 전환이 왜 호재냐면...
				[1]",8437****,509,1,3
2022.02.21 15:11,계양이도 정지?겠다.... 이제 그냥 합...,8437****,357,6,0
2022.02.21 10:02,"■■개망챠트~!!!!!++++++
				[2]",ehdu****,379,4,0
2022.02.21 10:00,■■아. 띠바ㅡㅡㅡㅡㅡㅡㅡㅡㅡ,ehdu****,210,0,0
2022.02.20 00:36,"러우 전쟁은 전쟁도 아니네
				[1]",you7****,526,1,3
2022.02.20 00:34,1년 영익이면 계양 인수하겠다,you7****,412,1,1
