날짜,제목,글쓴이,조회,공감,비공감
2022.06.24 09:00,포케비추 1년넘게 물려있다 손절함,tuo1****,255,3,0
2022.06.24 09:08,포케비추 1년넘게 물려있다 손절함,db00****,150,0,0
2022.06.24 08:44,얘는 진짜 너무,hhjk****,165,1,0
2022.06.24 08:27,강간기업 포스코네..네미럴,dalr****,161,4,1
2022.06.24 07:46,외국인들 공매도 5조 육박,munh****,227,3,0
2022.06.24 07:27,윤짜장 뽑은댓가야,tnt2****,196,11,1
2022.06.23 23:32,일본중국미국 증시 다오르는데,doyo****,282,7,1
2022.06.23 22:32,포케,whuu****,236,12,0
2022.06.23 21:31,악성 댓글이 판치는 것 보니,kimj****,173,3,3
2022.06.23 19:54,포스코 갑질 성폭력에 대한 소리,ko22****,159,0,1
2022.06.23 18:32,철부지들,db00****,213,2,4
2022.06.23 18:03,엘엔에프한테 잘못하면 밟히겟네,90tk****,437,3,2
2022.06.23 17:31,금일 매매 동향,netp****,648,17,1
2022.06.23 17:16,지금 주가는 전라도가 다했다,roya****,237,1,5
2022.06.23 16:36,아침에 오르락 내리락 하더니,chob****,211,2,1
2022.06.23 16:28,돈없으면 주식하지마라~~,koak****,190,0,0
2022.06.23 16:24,포케는 묻어두면 40만원 거뜬히 간다.,dafu****,238,1,5
2022.06.23 15:54,주가는 떨어지는데 개미는 털렸네?,rara****,300,1,0
2022.06.23 15:43,평단 15만9천입니다. 본전 언제,gusd****,696,1,1
2022.06.23 17:38,[삭제된 게시물의 답글]평단 15만9천입니다. 본전 언제,db00****,188,0,0
2022.06.23 15:41,내일은 반대매매 더 나온단다 ㅎ,alst****,263,1,0
2022.06.23 15:27,전쟁통에 전기차가 과연?,dkel****,413,2,4
2022.06.23 14:47,12위에서 산 인간들아,alst****,487,3,5
2022.06.23 14:37,후발주자라 의미 없다. 대규모 적자 조심,oksk****,621,3,6
2022.06.23 14:33,개거품주,ok09****,293,2,0
2022.06.23 14:24,던져라.,alst****,200,0,0
2022.06.23 14:02,투매 ,alst****,237,0,0
2022.06.23 13:59,투매하지마소,dkjh****,751,6,6
2022.06.23 15:21,투매하지마소,db00****,200,0,0
2022.06.23 13:58,반대매매 더 청산좀 하자,alst****,193,0,1
2022.06.23 13:51,정말 조카타,jjp2****,179,0,0
2022.06.23 13:20,나한테 뭐라했니,alst****,376,1,2
2022.06.23 13:19,더 떨어질듯 10만원 초반까지는 갈듯,gere****,214,1,1
2022.06.23 13:28,더 떨어질듯 10만원 초반까지는 갈듯,db00****,242,0,0
2022.06.23 13:03,무능한 전라도 인사 다 추방하고,roya****,208,4,4
2022.06.23 15:38,무능한 전라도 인사 다 추방하고,mike****,163,0,0
2022.06.23 12:59,8마넌 가즈아!!!,alst****,171,3,0
2022.06.23 12:57,호가마다,alst****,132,0,0
2022.06.23 12:54,오늘 11만원 깨지겠네,cybe****,170,2,0
2022.06.23 12:47,와 세상이 망하나?,fire****,326,3,1
2022.06.23 12:46,불나방들,db00****,123,0,0
2022.06.23 12:43,좋다,alst****,114,0,0
2022.06.23 12:30,주식은 미래가치,ksd8****,173,1,0
2022.06.23 12:19,윤두식이 찍은 댓가는,dalr****,244,11,1
2022.06.23 11:59,전저점 96000원 갈듯,rara****,451,5,1
2022.06.23 11:53,7만원,khnj****,172,3,0
2022.06.23 11:48,폭락전 가격 오지도 못한,ehfi****,228,5,0
2022.06.23 11:38,아호 18,ksd8****,206,1,0
2022.06.23 11:13,호가마다,alst****,218,0,0
2022.06.23 11:11,116.500원 500주 재입성,ssas****,464,1,2
2022.06.23 10:20,2프로 수익중,fire****,394,5,0
2022.06.23 09:32,순간의 선택...,hlak****,290,6,0
2022.06.23 09:29,2차전지는 끝난듯,rara****,219,1,0
2022.06.23 09:16,세계최대 양극재 6만톤 규모 신공장 가동 언제인가요?,phi2****,753,4,3
2022.06.23 07:52,금리 상승 주식하고 있눈??????????,mong****,418,2,1
2022.06.23 08:21,금리 상승 주식하고 있눈??????????,db00****,216,1,1
2022.06.23 07:47,한국 법인세 인하가 기업의 이익에 미치는 긍정적인 영향 정리,jjon****,198,1,2
2022.06.23 06:09,11만원대로 하락을 맞춘 사람에게,db00****,378,3,3
2022.06.23 05:17,포스코케미칼이 최고다,kn74****,582,7,2
2022.06.22 22:21,그제 들어오자마자 물렸군 50주 ㅋㅋㅋㅋ,siro****,255,2,0
2022.06.22 21:31,방법이없데요,ko22****,206,3,4
2022.06.22 19:51,낼부터 쭈루욱 하락 100%,sayk****,367,5,4
2022.06.22 18:45,뭐지???시외 폭등하는데요???,gopd****,397,1,3
2022.06.22 17:31,호재떳다 소리질러라,rpwj****,506,5,2
2022.06.22 16:01,이런걸 전라도가 전라도했다라고 한다,roya****,630,14,20
2022.06.22 15:57,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,dafu****,686,1,3
2022.06.22 15:50,아 무서워.,mdhe****,201,0,0
2022.06.22 15:49,ㅋㅋㅋㅋ ,yong****,144,0,0
2022.06.22 15:43,"십년에 한번, 평생에 한번",db00****,656,2,7
2022.06.22 15:13,나락으로...,chun****,293,1,5
2022.06.22 15:03,금리가 하염없이 상승하는데 주식하고 잇는 ??????,mong****,535,5,7
2022.06.22 14:53,내가,alst****,501,1,1
2022.06.22 14:46,나라 망했나?,ken_****,309,9,1
2022.06.22 14:37,최정우,alst****,200,0,1
2022.06.22 14:04,12층 깨졌네 홀리쉿,rara****,252,1,4
2022.06.22 12:25,갑질 1등 가게,ko22****,299,10,1
2022.06.22 12:19,2차전지주맞냐?ㅋㅋ 개퍽락  진행중,rpwj****,430,1,1
2022.06.22 12:05,참..,shbk****,227,8,1
2022.06.22 11:50,12만원 사수하라,rara****,202,1,1
2022.06.22 11:33,경제부처는?,agoo****,286,11,1
2022.06.22 11:11,주가 관리에는 관심 1도 없는 경영진,tuo1****,598,19,1
2022.06.22 11:08,어디까지,pyoo****,225,0,0
2022.06.22 10:58,나으ㅢ 목포가 ,alst****,225,1,0
2022.06.22 10:49,나으 목표가,alst****,163,0,0
2022.06.22 10:48,았ㅂ 짱나네 다 짤라치워라,js_0****,147,0,0
2022.06.22 10:43,GM은 ㄴㅁ ,p243****,161,0,0
2022.06.22 10:42,무늬만 포스코 2차전지주,idsy****,175,1,0
2022.06.22 10:31,지랄한다,smj7****,159,0,0
2022.06.22 10:10,못된짓만 하고 다니니 머리가 글케 빠지지,roya****,230,2,5
2022.06.22 10:07,일단 튀자,ewrp****,343,7,2
2022.06.22 10:06,민경준의 무능함,skc2****,205,7,0
2022.06.22 10:04,"항상 ""갑""이었던 포스코. ""을""의 자세를 갖지 않으면",tpor****,222,4,0
2022.06.22 10:04,얼른 빼라 귀찮게 버티지말고,lees****,173,1,0
2022.06.22 09:45,제발좀 물러나라!,stor****,228,9,0
2022.06.22 10:04,제발좀 물러나라!,hlak****,258,3,1
2022.06.22 09:42,10배 갈 종목..2차전지 양극제 소성로 신사업으로 에코프로비엠.포스코케미칼 납품..강원에너지,hsoo****,408,2,0
2022.06.22 09:39,종특,k188****,175,3,1
2022.06.22 09:29,냅두면 알아서 30만 간다,dafu****,291,0,9
2022.06.22 09:45,[삭제된 게시물의 답글]아따 전라도 왔능가?,roya****,193,2,2
2022.06.22 09:15,에코랑 엘앤에프 빼고는 못갈듯,rara****,173,1,1
2022.06.22 08:56,125000원에서 매집하나,hhjk****,171,1,0
2022.06.21 23:35,포케,qkrt****,212,0,0
2022.06.21 22:01,네 괜찮아요,ldi3****,216,1,0
2022.06.21 21:51,주린이인데 연기금이 순매수하면 좋은건가요?,qord****,319,1,0
2022.06.21 18:32,포스코케미칼 기술적분석 ,do53****,246,0,0
2022.06.21 16:45,전에 얘기했잖아,zxcv****,398,0,3
2022.06.21 16:40,kims**** 이시국에 대책없다는 말만하고 술이나 처 먹고 영화나 보러다니고~~길막하고 빵이나 사 처 먹으러 다니고~,roya****,244,6,5
2022.06.21 16:31,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,dafu****,370,1,2
2022.06.21 15:50,아따 우리사람 좀 집어넣장게~으이,roya****,224,3,4
2022.06.21 15:49,신 공장 가동은 언제 하나요? ,kimh****,542,4,0
2022.06.21 15:44,연기금 13거래일 연속 순매수.,boyo****,294,4,0
2022.06.21 15:40,연개금 도대체 며칠째 사는거냐,qkrg****,162,0,0
2022.06.21 15:37,연기금은 그냥 무지성으로 2차전지 담네 ㅋㅋㅋ,rara****,200,1,0
2022.06.21 15:15,여기서 전라도타령하는 뇌없는인간아,kka3****,236,2,3
2022.06.21 15:08,전라도놈들 글썼다가 지우네,roya****,207,3,5
2022.06.21 14:55,여기가 그 유명한...,gaya****,201,3,0
2022.06.21 14:25,갑질하니깐 올라가네요,dlwn****,188,2,0
2022.06.21 14:02,갑질,ko22****,186,3,0
2022.06.21 12:36,"123,000 입성",ssas****,585,4,1
2022.06.21 11:59,제 지인이 금융쪽에 있는데 여기 저기서 투자금이 많이 들어온다더군요...,dong****,798,8,2
2022.06.21 11:50,난 그래도 전라도놈들은 노조 지지하는줄알았음,roya****,410,9,9
2022.06.21 11:39,조선 ㆍ기자재,chhl****,235,2,0
2022.06.21 10:10,10배 갈 종목..2차전지 양극제 소성로 신사업으로 에코프로비엠.포스코케미칼 납품..강원에너지,hsoo****,683,5,0
2022.06.21 10:07,종특,k188****,280,2,0
2022.06.21 09:56,포케야 그러지마,ksd8****,278,4,0
2022.06.21 09:49,니쁘게 볼건 없을듯!,worl****,282,4,2
2022.06.21 08:31,양아치 가게,ko22****,283,4,0
2022.06.20 23:11,잘버티네요,kkal****,459,6,4
2022.06.20 20:04,오늘 들어왔숩니다.,siro****,437,2,1
