,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
154,2021/08/13,248500,6500,2.69,244500,253500,244000,1089181,271845698500,22977692654000,92465564
155,2021/08/17,240000,-8500,-3.42,250500,253500,239500,667126,163390211000,22191735360000,92465564
156,2021/08/18,240500,500,0.21,240000,243000,235500,513505,123017533500,22237968142000,92465564
157,2021/08/19,230000,-10500,-4.37,238500,240500,230000,632361,147973520000,21267079720000,92465564
158,2021/08/20,233000,3000,1.3,231000,236500,225500,622372,143861139000,21544476412000,92465564
159,2021/08/23,238000,5000,2.15,235500,242500,233000,594195,142077874000,22006804232000,92465564
160,2021/08/24,238000,0,0.0,242500,243000,233000,496803,118135246000,22006804232000,92465564
161,2021/08/25,243000,5000,2.1,239000,245000,238000,379658,91920951000,22469132052000,92465564
162,2021/08/26,238500,-4500,-1.85,243000,245000,238000,244249,58748064500,22053037014000,92465564
163,2021/08/27,239500,1000,0.42,237000,241000,234000,259946,61768707000,22145502578000,92465564
164,2021/08/30,240500,1000,0.42,242000,243000,238000,261434,62908043000,22237968142000,92465564
165,2021/08/31,249500,9000,3.74,240500,249500,240000,797027,196829970500,23070158218000,92465564
166,2021/09/01,244500,-5000,-2.0,249500,251000,243500,323014,79590394000,22607830398000,92465564
167,2021/09/02,247500,3000,1.23,249000,250500,243500,449388,111159484500,22885227090000,92465564
168,2021/09/03,250000,2500,1.01,249000,251000,247000,290460,72309632000,23116391000000,92465564
169,2021/09/06,250000,0,0.0,251000,253000,248500,211726,53016415000,23116391000000,92465564
170,2021/09/07,249500,-500,-0.2,250500,251000,248000,220390,54970360500,23070158218000,92465564
171,2021/09/08,251500,2000,0.8,247500,254000,245500,438452,109715964500,23255089346000,92465564
172,2021/09/09,247000,-4500,-1.79,251000,254000,246500,520679,129755847500,22838994308000,92465564
173,2021/09/10,250000,3000,1.21,248000,251000,244000,386934,96040807000,23116391000000,92465564
174,2021/09/13,249500,-500,-0.2,250000,255500,247500,458279,115104769000,23070158218000,92465564
175,2021/09/14,256000,6500,2.61,251000,257500,249000,551255,140442955000,23671184384000,92465564
176,2021/09/15,248000,-8000,-3.13,258000,261500,244000,772010,193024726000,22931459872000,92465564
177,2021/09/16,237000,-11000,-4.44,249000,251500,235500,913273,219735431500,21914338668000,92465564
178,2021/09/17,240000,3000,1.27,234500,241000,232000,566348,134559126000,22191735360000,92465564
179,2021/09/23,245500,5500,2.29,236500,246500,236000,452451,110089817500,22700295962000,92465564
180,2021/09/24,249000,3500,1.43,247000,252000,243000,398514,98785033500,23023925436000,92465564
181,2021/09/27,251500,2500,1.0,249500,253500,249000,366280,92045967500,23255089346000,92465564
182,2021/09/28,261000,9500,3.78,257000,263000,252500,1163946,301895934500,24133512204000,92465564
183,2021/09/29,265500,4500,1.72,259000,269500,255000,1258073,333526041000,24549607242000,92465564
184,2021/09/30,265000,-500,-0.19,268500,269000,262500,577784,153204984585,24503374460000,92465564
185,2021/10/01,263500,-1500,-0.57,263000,265000,257500,409424,106880979000,24364676114000,92465564
186,2021/10/05,265000,1500,0.57,263500,270000,258500,602860,158918763500,24503374460000,92465564
187,2021/10/06,255500,-9500,-3.58,266000,268000,255000,591578,154237207000,23624951602000,92465564
188,2021/10/07,252000,-3500,-1.37,258500,259000,244000,537282,133899117500,23301322128000,92465564
189,2021/10/08,248000,-4000,-1.59,254500,256500,246500,347827,87404584000,22931459872000,92465564
190,2021/10/12,256500,8500,3.43,249500,258000,245500,499968,126330331500,23717417166000,92465564
191,2021/10/13,259000,2500,0.97,255000,262500,255000,307247,79723739500,23948581076000,92465564
192,2021/10/14,263500,4500,1.74,260000,264500,255500,498487,130079769000,24364676114000,92465564
193,2021/10/15,258500,-5000,-1.9,263500,265500,257500,350013,91319736000,23902348294000,92465564
194,2021/10/18,259000,500,0.19,259000,263500,256500,290437,75503943500,23948581076000,92465564
195,2021/10/19,256500,-2500,-0.97,261000,261500,253000,287694,73683812500,23717417166000,92465564
196,2021/10/20,258000,1500,0.58,259000,261000,257500,270085,69972727000,23856115512000,92465564
197,2021/10/21,257000,-1000,-0.39,258000,260500,254000,264626,67972435500,23763649948000,92465564
198,2021/10/22,256500,-500,-0.19,255500,258000,254000,229884,58813320500,23717417166000,92465564
199,2021/10/25,256500,0,0.0,254500,257000,248000,311942,78854437000,23717417166000,92465564
200,2021/10/26,257000,500,0.19,259000,262500,255500,276205,71306862500,23763649948000,92465564
201,2021/10/27,251000,-6000,-2.33,256000,256500,250500,213512,53879719500,23208856564000,92465564
202,2021/10/28,243500,-7500,-2.99,250500,253000,243500,383513,94839697000,22515364834000,92465564
203,2021/10/29,242500,-1000,-0.41,244000,249500,242000,422228,103129320000,22422899270000,92465564
204,2021/11/01,239500,-3000,-1.24,242500,247000,238000,326810,78967413500,22145502578000,92465564
205,2021/11/02,248500,9000,3.76,241000,253500,241000,425892,106450319500,22977692654000,92465564
206,2021/11/03,243500,-5000,-2.01,249000,250000,243000,191162,46976381500,22515364834000,92465564
207,2021/11/04,239500,-4000,-1.64,245500,248500,238000,328281,79218482000,22145502578000,92465564
208,2021/11/05,233500,-6000,-2.51,242000,242000,232000,490713,114857589000,21590709194000,92465564
209,2021/11/08,234000,500,0.21,235500,236000,230000,306833,71224905500,21636941976000,92465564
